"GeneID","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000051180","BCK_eIF4E_RIP_2016.csv~1.1235",NA,NA
"ENSG00000051341","BCK_eIF4E_RIP_2016.csv~1.321",NA,NA
"ENSG00000051382","BCK_eIF4E_RIP_2016.csv~1.232",NA,NA
"ENSG00000052749","BCK_eIF4E_RIP_2016.csv~1.378",NA,NA
"ENSG00000052795","BCK_eIF4E_RIP_2016.csv~1.1610",NA,NA
"ENSG00000052841","BCK_eIF4E_RIP_2016.csv~1.12",NA,NA
"ENSG00000053254","BCK_eIF4E_RIP_2016.csv~1.1414",NA,NA
"ENSG00000053372","BCK_eIF4E_RIP_2016.csv~1.640",NA,NA
"ENSG00000053524","BCK_eIF4E_RIP_2016.csv~1.3427",NA,NA
"ENSG00000053702","BCK_eIF4E_RIP_2016.csv~1.3425",NA,NA
"ENSG00000054118","BCK_eIF4E_RIP_2016.csv~1.1350",NA,NA
"ENSG00000054267","BCK_eIF4E_RIP_2016.csv~1.1109",NA,NA
"ENSG00000054523","BCK_eIF4E_RIP_2016.csv~1.2877",NA,NA
"ENSG00000054965","BCK_eIF4E_RIP_2016.csv~1.2500",NA,NA
"ENSG00000054967","BCK_eIF4E_RIP_2016.csv~1.239",NA,NA
"ENSG00000055044","BCK_eIF4E_RIP_2016.csv~1.662",NA,NA
"ENSG00000055118","BCK_eIF4E_RIP_2016.csv~1.2847",NA,NA
"ENSG00000055163","BCK_eIF4E_RIP_2016.csv~1.845",NA,NA
"ENSG00000055332","BCK_eIF4E_RIP_2016.csv~1.182",NA,NA
"ENSG00000055483","BCK_eIF4E_RIP_2016.csv~1.1723",NA,NA
"ENSG00000055609","BCK_eIF4E_RIP_2016.csv~1.770",NA,NA
"ENSG00000055955","BCK_eIF4E_RIP_2016.csv~1.3154",NA,NA
"ENSG00000056097","BCK_eIF4E_RIP_2016.csv~1.82",NA,NA
"ENSG00000056487","BCK_eIF4E_RIP_2016.csv~1.3723",NA,NA
"ENSG00000056558","BCK_eIF4E_RIP_2016.csv~1.2445",NA,NA
"ENSG00000056661","BCK_eIF4E_RIP_2016.csv~1.3558",NA,NA
"ENSG00000056678","BCK_eIF4E_RIP_2016.csv~1.32",NA,NA
"ENSG00000056736","BCK_eIF4E_RIP_2016.csv~1.3537",NA,NA
"ENSG00000057757","BCK_eIF4E_RIP_2016.csv~1.1856",NA,NA
"ENSG00000057935","BCK_eIF4E_RIP_2016.csv~1.11",NA,NA
"ENSG00000058056","BCK_eIF4E_RIP_2016.csv~1.1183",NA,NA
"ENSG00000058262","BCK_eIF4E_RIP_2016.csv~1.2641",NA,NA
"ENSG00000058453","BCK_eIF4E_RIP_2016.csv~1.2874",NA,NA
"ENSG00000058600","BCK_eIF4E_RIP_2016.csv~1.218",NA,NA
"ENSG00000058673","BCK_eIF4E_RIP_2016.csv~1.486",NA,"MG_eIF4E_OE_DSG_2018.csv~1.61"
"ENSG00000059145","BCK_eIF4E_RIP_2016.csv~1.2112",NA,"MG_eIF4E_OE_DSG_2018.csv~1.188"
"ENSG00000059378","BCK_eIF4E_RIP_2016.csv~1.1782",NA,NA
"ENSG00000059588","BCK_eIF4E_RIP_2016.csv~1.1363",NA,NA
"ENSG00000059728","BCK_eIF4E_RIP_2016.csv~1.877",NA,NA
"ENSG00000059804","BCK_eIF4E_RIP_2016.csv~1.3368",NA,NA
"ENSG00000060069","BCK_eIF4E_RIP_2016.csv~1.1498",NA,NA
"ENSG00000060138","BCK_eIF4E_RIP_2016.csv~1.3088",NA,NA
"ENSG00000060237","BCK_eIF4E_RIP_2016.csv~1.832",NA,NA
"ENSG00000060339","BCK_eIF4E_RIP_2016.csv~1.663",NA,NA
"ENSG00000060656","BCK_eIF4E_RIP_2016.csv~1.3406",NA,NA
"ENSG00000060971","BCK_eIF4E_RIP_2016.csv~1.2541",NA,NA
"ENSG00000061273","BCK_eIF4E_RIP_2016.csv~1.2140",NA,NA
"ENSG00000061936","BCK_eIF4E_RIP_2016.csv~1.2888",NA,NA
"ENSG00000061938","BCK_eIF4E_RIP_2016.csv~1.2660",NA,NA
"ENSG00000062282","BCK_eIF4E_RIP_2016.csv~1.3843",NA,NA
"ENSG00000062485","BCK_eIF4E_RIP_2016.csv~1.2389",NA,NA
"ENSG00000062598","BCK_eIF4E_RIP_2016.csv~1.2245",NA,NA
"ENSG00000063127","BCK_eIF4E_RIP_2016.csv~1.2742",NA,NA
"ENSG00000063169","BCK_eIF4E_RIP_2016.csv~1.3035",NA,NA
