Gene,logFC,t,P.Value,adj.P.Val,B,ensembl_gene_id
GLIS2,1.31772763132992,3.12377709539508,0.00416757259630002,0.0103250329840108,-1.91407748796428,ENSG00000126603
CHD5,1.31876169824719,3.75891628871034,8.12655799192875e-4,0.00260125992133163,-0.517929662525612,ENSG00000116254
STXBP1,1.3214414841977,4.80399265766173,5.34079852634193e-5,2.85348095751018e-4,1.93789442824794,ENSG00000136854
MTSS1L,1.32778233371115,3.57261744754854,0.00132385167136854,0.00392052149848946,-0.953960098810417,ENSG00000132613
CHDH,1.32801363219171,3.63476593562361,0.00112571193218486,0.00341874105627042,-0.805635778720164,ENSG00000016391
AGAP6,1.3319344489931,9.32673791442065,5.02242657842918e-10,3.85835291525124e-8,12.9941837013989,ENSG00000204149
PTK6,1.33320805913264,4.04253477840346,3.82786415982034e-4,0.00140705437109138,0.139749494859927,ENSG00000101213
SYNGR1,1.33526952598576,3.17573339513815,0.00365850510167487,0.00923553796131535,-1.81018026022999,ENSG00000100321
CRIPAK,1.33668701421633,6.45902037066938,5.74350095117968e-7,8.25779322803607e-6,6.1852546106562,ENSG00000179979
TRAF3IP1,1.34095226690135,6.32675486385044,8.13692688360018e-7,1.09021384654057e-5,5.86666474098539,ENSG00000204104
SH3GL1P2,1.34269626032467,3.14409959923907,0.00396086171891205,0.00988040983210899,-1.87939482838862,ENSG00000264943
TRIM62,1.3487340128893,4.11602648241777,3.14452483087723e-4,0.00119689182040544,0.319170994931762,ENSG00000116525
ATP7B,1.34954375282823,3.93557296029872,5.09083809441577e-4,0.00177864238374058,-0.119845850329487,ENSG00000123191
LAT,1.34981304886357,4.38969374745606,1.50562019336762e-4,6.6042258426394e-4,0.969120023153344,ENSG00000213658
SYN1,1.3522698149244,2.4458141815271,0.0213610230187213,0.0413370341112027,-3.19957048642707,ENSG00000008056
UNC5CL,1.37093169646485,4.43893927150887,1.31801159866975e-4,5.91283503300946e-4,1.0944248038734,ENSG00000124602
IDUA,1.37143873020566,5.25960893775204,1.42222842306836e-5,1.00570760439523e-4,3.14828705791573,ENSG00000127415
PRR24,1.37164207157473,4.08344678815648,3.43118614200423e-4,0.00128525936761803,0.24229507957186,ENSG00000257704
