"Row","GeneID","geneSymbol"
"BCK_eIF4E_RIP_2016.csv~1.179","ENSG00000149150","SLC43A1"
"BCK_eIF4E_RIP_2016.csv~1.180","ENSG00000148343","FAM73B"
"BCK_eIF4E_RIP_2016.csv~1.181","ENSG00000187741","FANCA"
"BCK_eIF4E_RIP_2016.csv~1.182","ENSG00000055332","EIF2AK2"
"BCK_eIF4E_RIP_2016.csv~1.183","ENSG00000183354","KIAA2026"
"BCK_eIF4E_RIP_2016.csv~1.184","ENSG00000116809","ZBTB17"
"BCK_eIF4E_RIP_2016.csv~1.185","ENSG00000168067","MAP4K2"
"BCK_eIF4E_RIP_2016.csv~1.186","ENSG00000155363","MOV10"
"BCK_eIF4E_RIP_2016.csv~1.187","ENSG00000168916","ZNF608"
"BCK_eIF4E_RIP_2016.csv~1.188","ENSG00000089820","ARHGAP4"
"BCK_eIF4E_RIP_2016.csv~1.189","ENSG00000113812","ACTR8"
"BCK_eIF4E_RIP_2016.csv~1.190","ENSG00000108588","CCDC47"
"BCK_eIF4E_RIP_2016.csv~1.191","ENSG00000086848","ALG9"
"BCK_eIF4E_RIP_2016.csv~1.192","ENSG00000113368","LMNB1"
"BCK_eIF4E_RIP_2016.csv~1.193","ENSG00000100226","GTPBP1"
"BCK_eIF4E_RIP_2016.csv~1.194","ENSG00000132361","CLUH"
"BCK_eIF4E_RIP_2016.csv~1.195","ENSG00000162739","SLAMF6"
"BCK_eIF4E_RIP_2016.csv~1.196","ENSG00000009335","UBE3C"
"BCK_eIF4E_RIP_2016.csv~1.197","ENSG00000167766","ZNF83"
"BCK_eIF4E_RIP_2016.csv~1.198","ENSG00000122122","SASH3"
"BCK_eIF4E_RIP_2016.csv~1.199","ENSG00000134759","ELP2"
"BCK_eIF4E_RIP_2016.csv~1.200","ENSG00000086730","LAT2"
"BCK_eIF4E_RIP_2016.csv~1.201","ENSG00000183431","SF3A3"
"BCK_eIF4E_RIP_2016.csv~1.202","ENSG00000213995","CARKD"
"BCK_eIF4E_RIP_2016.csv~1.203","ENSG00000188706","ZDHHC9"
"BCK_eIF4E_RIP_2016.csv~1.204","ENSG00000149262","INTS4"
"BCK_eIF4E_RIP_2016.csv~1.205","ENSG00000011243","AKAP8L"
"BCK_eIF4E_RIP_2016.csv~1.206","ENSG00000116455","WDR77"
"BCK_eIF4E_RIP_2016.csv~1.207","ENSG00000103275","UBE2I"
"BCK_eIF4E_RIP_2016.csv~1.208","ENSG00000206530","WDR52"
"BCK_eIF4E_RIP_2016.csv~1.209","ENSG00000068438","FTSJ1"
"BCK_eIF4E_RIP_2016.csv~1.210","ENSG00000108395","TRIM37"
"BCK_eIF4E_RIP_2016.csv~1.211","ENSG00000171791","BCL2"
"BCK_eIF4E_RIP_2016.csv~1.212","ENSG00000134748","PRPF38A"
"BCK_eIF4E_RIP_2016.csv~1.213","ENSG00000119509","INVS"
"BCK_eIF4E_RIP_2016.csv~1.214","ENSG00000144589","STK11IP"
"BCK_eIF4E_RIP_2016.csv~1.215","ENSG00000095059","DHPS"
"BCK_eIF4E_RIP_2016.csv~1.216","ENSG00000116731","PRDM2"
"BCK_eIF4E_RIP_2016.csv~1.217","ENSG00000124523","SIRT5"
"BCK_eIF4E_RIP_2016.csv~1.218","ENSG00000058600","POLR3E"
"BCK_eIF4E_RIP_2016.csv~1.219","ENSG00000146094","DOK3"
"BCK_eIF4E_RIP_2016.csv~1.220","ENSG00000030066","NUP160"
"BCK_eIF4E_RIP_2016.csv~1.221","ENSG00000119685","TTLL5"
"BCK_eIF4E_RIP_2016.csv~1.222","ENSG00000104880","ARHGEF18"
"BCK_eIF4E_RIP_2016.csv~1.223","ENSG00000231945","VARS"
"BCK_eIF4E_RIP_2016.csv~1.224","ENSG00000135426","TESPA1"
"BCK_eIF4E_RIP_2016.csv~1.225","ENSG00000166532","RIMKLB"
"BCK_eIF4E_RIP_2016.csv~1.226","ENSG00000166377","ATP9B"
"BCK_eIF4E_RIP_2016.csv~1.227","ENSG00000075275","CELSR1"
"BCK_eIF4E_RIP_2016.csv~1.228","ENSG00000107949","BCCIP"
"BCK_eIF4E_RIP_2016.csv~1.229","ENSG00000151532","VTI1A"
"BCK_eIF4E_RIP_2016.csv~1.230","ENSG00000147912","FBXO10"
"BCK_eIF4E_RIP_2016.csv~1.231","ENSG00000125247","TMTC4"
"BCK_eIF4E_RIP_2016.csv~1.232","ENSG00000051382","PIK3CB"
"BCK_eIF4E_RIP_2016.csv~1.233","ENSG00000164889","SLC4A2"
"BCK_eIF4E_RIP_2016.csv~1.234","ENSG00000082512","TRAF5"
"BCK_eIF4E_RIP_2016.csv~1.235","ENSG00000138641","HERC3"
"BCK_eIF4E_RIP_2016.csv~1.236","ENSG00000156398","SFXN2"
"BCK_eIF4E_RIP_2016.csv~1.237","ENSG00000064687","ABCA7"
"BCK_eIF4E_RIP_2016.csv~1.238","ENSG00000180979","LRRC57"
"BCK_eIF4E_RIP_2016.csv~1.239","ENSG00000054967","RELT"
"BCK_eIF4E_RIP_2016.csv~1.240","ENSG00000130741","EIF2S3"
"BCK_eIF4E_RIP_2016.csv~1.241","ENSG00000185436","IFNLR1"
"BCK_eIF4E_RIP_2016.csv~1.242","ENSG00000100994","PYGB"
"BCK_eIF4E_RIP_2016.csv~1.243","ENSG00000105655","ISYNA1"
"BCK_eIF4E_RIP_2016.csv~1.244","ENSG00000110911","SLC11A2"
"BCK_eIF4E_RIP_2016.csv~1.245","ENSG00000134644","PUM1"
"BCK_eIF4E_RIP_2016.csv~1.246","ENSG00000166855","CLPX"
"BCK_eIF4E_RIP_2016.csv~1.247","ENSG00000261230","CPSF1"
"BCK_eIF4E_RIP_2016.csv~1.248","ENSG00000163930","BAP1"
"BCK_eIF4E_RIP_2016.csv~1.249","ENSG00000196821","C6orf106"
"BCK_eIF4E_RIP_2016.csv~1.250","ENSG00000134744","ZCCHC11"
"BCK_eIF4E_RIP_2016.csv~1.251","ENSG00000108264","TADA2A"
"BCK_eIF4E_RIP_2016.csv~1.252","ENSG00000074054","CLASP1"
"BCK_eIF4E_RIP_2016.csv~1.253","ENSG00000100796","SMEK1"
"BCK_eIF4E_RIP_2016.csv~1.254","ENSG00000003402","CFLAR"
"BCK_eIF4E_RIP_2016.csv~1.255","ENSG00000083444","PLOD1"
"BCK_eIF4E_RIP_2016.csv~1.256","ENSG00000110057","UNC93B1"
"BCK_eIF4E_RIP_2016.csv~1.257","ENSG00000141543","EIF4A3"
"BCK_eIF4E_RIP_2016.csv~1.258","ENSG00000157014","TATDN2"
"BCK_eIF4E_RIP_2016.csv~1.259","ENSG00000106105","GARS"
"BCK_eIF4E_RIP_2016.csv~1.260","ENSG00000088325","TPX2"
"BCK_eIF4E_RIP_2016.csv~1.261","ENSG00000100596","SPTLC2"
"BCK_eIF4E_RIP_2016.csv~1.262","ENSG00000172269","DPAGT1"
"BCK_eIF4E_RIP_2016.csv~1.263","ENSG00000122034","GTF3A"
"BCK_eIF4E_RIP_2016.csv~1.264","ENSG00000105325","FZR1"
"BCK_eIF4E_RIP_2016.csv~1.265","ENSG00000197879","MYO1C"
"BCK_eIF4E_RIP_2016.csv~1.266","ENSG00000101546","RBFA"
"BCK_eIF4E_RIP_2016.csv~1.267","ENSG00000111144","LTA4H"
"BCK_eIF4E_RIP_2016.csv~1.268","ENSG00000172687","ZNF738"
"BCK_eIF4E_RIP_2016.csv~1.269","ENSG00000160336","ZNF761"
"BCK_eIF4E_RIP_2016.csv~1.270","ENSG00000126934","MAP2K2"
"BCK_eIF4E_RIP_2016.csv~1.271","ENSG00000144893","MED12L"
"BCK_eIF4E_RIP_2016.csv~1.272","ENSG00000156970","BUB1B"
"BCK_eIF4E_RIP_2016.csv~1.273","ENSG00000160796","NBEAL2"
"BCK_eIF4E_RIP_2016.csv~1.274","ENSG00000120278","PLEKHG1"
"BCK_eIF4E_RIP_2016.csv~1.275","ENSG00000094916","CBX5"
"BCK_eIF4E_RIP_2016.csv~1.276","ENSG00000262509","BLNK"
"BCK_eIF4E_RIP_2016.csv~1.277","ENSG00000110777","POU2AF1"
